size,language,silhouette_score
e2b,en,0.24073977768421173
e2b,es,0.2901339530944824
e2b,zh,0.36888107657432556
e2b,pt,0.2886804938316345
e2b,de,0.2740342319011688
e2b,ar,0.267662912607193
e2b,hi,0.30335909128189087
e4b,en,0.21674874424934387
e4b,es,0.2288467437028885
e4b,zh,0.26437196135520935
e4b,pt,0.2553601861000061
e4b,de,0.31677117943763733
e4b,ar,0.27156317234039307
e4b,hi,0.2613699436187744
31b,en,0.17956772446632385
31b,es,0.21373268961906433
31b,zh,0.2804947793483734
31b,pt,0.19612693786621094
31b,de,0.2501610815525055
31b,ar,0.23862771689891815
31b,hi,0.214186891913414
