,en,es,zh,pt,de,ar,hi
en,1.000000238418579,0.19550107419490814,0.341295063495636,0.19497349858283997,0.3041950464248657,0.26146966218948364,0.3041297197341919
es,0.19550107419490814,0.9999999403953552,0.2194858193397522,0.5151172876358032,0.30942949652671814,0.23682506382465363,0.2529829144477844
zh,0.341295063495636,0.2194858193397522,1.0,0.1760093718767166,0.2401047796010971,0.3211921453475952,0.3929380774497986
pt,0.19497349858283997,0.5151172876358032,0.1760093718767166,1.0,0.25046423077583313,0.16603632271289825,0.1965951770544052
de,0.3041950464248657,0.30942949652671814,0.2401047796010971,0.25046423077583313,1.000000238418579,0.20336246490478516,0.31213435530662537
ar,0.26146966218948364,0.23682506382465363,0.3211921453475952,0.16603632271289825,0.20336246490478516,1.0,0.35658830404281616
hi,0.3041297197341919,0.2529829144477844,0.3929380774497986,0.1965951770544052,0.31213435530662537,0.35658830404281616,1.0
