,en,es,zh,pt,de,ar,hi
en,1.0000001192092896,0.32094499468803406,0.3816765546798706,0.33400842547416687,0.31978490948677063,0.28508511185646057,0.33871108293533325
es,0.32094499468803406,1.0,0.34292134642601013,0.7074641585350037,0.36473336815834045,0.37230485677719116,0.30321934819221497
zh,0.3816765546798706,0.34292134642601013,1.0,0.35201847553253174,0.3698442280292511,0.4059497117996216,0.4665590524673462
pt,0.33400842547416687,0.7074641585350037,0.35201847553253174,1.0000001192092896,0.3604375720024109,0.34814080595970154,0.3259531855583191
de,0.31978490948677063,0.36473336815834045,0.3698442280292511,0.3604375720024109,1.0000001192092896,0.33854755759239197,0.3709122836589813
ar,0.28508511185646057,0.37230485677719116,0.4059497117996216,0.34814080595970154,0.33854755759239197,0.9999998807907104,0.3747629225254059
hi,0.33871108293533325,0.30321934819221497,0.4665590524673462,0.3259531855583191,0.3709122836589813,0.3747629225254059,1.0
