,en,es,zh,pt,de,ar,hi
en,1.0,0.2705911099910736,0.32910558581352234,0.3187255859375,0.3145565688610077,0.1834295392036438,0.2375037968158722
es,0.2705911099910736,1.0,0.26457709074020386,0.6702361106872559,0.3205600082874298,0.3719460964202881,0.2426643669605255
zh,0.32910558581352234,0.26457709074020386,1.0,0.2428676187992096,0.3061858117580414,0.2198026478290558,0.39648354053497314
pt,0.3187255859375,0.6702361106872559,0.2428676187992096,1.000000238418579,0.32458779215812683,0.3508484959602356,0.27348750829696655
de,0.3145565688610077,0.3205600082874298,0.3061858117580414,0.32458779215812683,0.9999999403953552,0.28795358538627625,0.2630068063735962
ar,0.1834295392036438,0.3719460964202881,0.2198026478290558,0.3508484959602356,0.28795358538627625,1.0000001192092896,0.37939584255218506
hi,0.2375037968158722,0.2426643669605255,0.39648354053497314,0.27348750829696655,0.2630068063735962,0.37939584255218506,1.0
